Mean: 0	Var: 0	Max: 0	Min: 0
Mean: -51.36	Var: 33.2304	Max: -36	Min: -66
Mean: -48.26	Var: 29.9127	Max: -36	Min: -62
Mean: -47.7	Var: 35.81	Max: -36	Min: -64
Mean: -46.9	Var: 42.9699	Max: -36	Min: -62
Mean: -45.32	Var: 51.8577	Max: -29	Min: -62
Mean: -44.58	Var: 47.7634	Max: -29	Min: -65
Mean: -43.62	Var: 48.3957	Max: -29	Min: -57
Mean: -42.3	Var: 43.0501	Max: -29	Min: -56
Mean: -44.26	Var: 66.1925	Max: -29	Min: -65
Mean: -44.18	Var: 58.5476	Max: -28	Min: -61
Mean: -44.68	Var: 55.2176	Max: -28	Min: -67
Mean: -45	Var: 53.48	Max: -28	Min: -62
Mean: -45.8	Var: 59.9601	Max: -28	Min: -62
Mean: -45.38	Var: 62.5955	Max: -28	Min: -61
Mean: -45.52	Var: 64.5694	Max: -28	Min: -69
Mean: -45.38	Var: 58.5555	Max: -28	Min: -59
Mean: -44.12	Var: 72.8657	Max: -28	Min: -63
Mean: -44.54	Var: 72.3684	Max: -28	Min: -67
Mean: -43.2	Var: 65.8399	Max: -26	Min: -59
Mean: -44.26	Var: 67.7525	Max: -26	Min: -63
Mean: -45.12	Var: 80.1857	Max: -26	Min: -71
Mean: -43.88	Var: 53.0255	Max: -26	Min: -60
Mean: -44.06	Var: 55.6963	Max: -26	Min: -61
Mean: -44.96	Var: 65.7585	Max: -26	Min: -61
Mean: -44.24	Var: 64.4223	Max: -26	Min: -62
Mean: -44.2	Var: 59.16	Max: -26	Min: -58
Mean: -43.22	Var: 73.0915	Max: -26	Min: -67
Mean: -43.06	Var: 73.4563	Max: -26	Min: -63
Mean: -43.54	Var: 86.2883	Max: -26	Min: -63
Mean: -42.16	Var: 70.5744	Max: -26	Min: -59
Mean: -43.28	Var: 98.4817	Max: -26	Min: -68
Mean: -43.28	Var: 78.3617	Max: -25	Min: -61
Mean: -42.72	Var: 68.1215	Max: -25	Min: -57
Mean: -43.02	Var: 90.4995	Max: -25	Min: -63
Mean: -43.2	Var: 71.9599	Max: -25	Min: -62
Mean: -41.96	Var: 66.1985	Max: -25	Min: -59
Mean: -42.94	Var: 80.0965	Max: -25	Min: -58
Mean: -42.62	Var: 83.1156	Max: -20	Min: -66
Mean: -43.7	Var: 89.1699	Max: -20	Min: -63
Mean: -43.38	Var: 92.3555	Max: -20	Min: -74
Mean: -43.54	Var: 80.1683	Max: -20	Min: -66
Mean: -42.58	Var: 61.5635	Max: -20	Min: -59
Mean: -44.3	Var: 113.21	Max: -20	Min: -68
Mean: -43.02	Var: 72.2595	Max: -20	Min: -62
Mean: -42.06	Var: 79.1763	Max: -20	Min: -61
Mean: -42.8	Var: 90.76	Max: -20	Min: -67
Mean: -43.12	Var: 68.7457	Max: -20	Min: -57
Mean: -43.64	Var: 78.6304	Max: -20	Min: -61
Mean: -43.68	Var: 79.2176	Max: -20	Min: -62
Mean: -42.82	Var: 65.9876	Max: -20	Min: -58
Mean: -43.68	Var: 74.5376	Max: -20	Min: -63
Mean: -43.6	Var: 64.5202	Max: -20	Min: -60
Mean: -43.7	Var: 72.4899	Max: -20	Min: -66
Mean: -43.06	Var: 77.8963	Max: -20	Min: -65
Mean: -43.82	Var: 90.9876	Max: -20	Min: -67
Mean: -42.06	Var: 68.7763	Max: -20	Min: -59
Mean: -42.26	Var: 75.8725	Max: -20	Min: -59
Mean: -42.66	Var: 86.4644	Max: -20	Min: -58
Mean: -42.5	Var: 76.73	Max: -20	Min: -57
Mean: -42.86	Var: 79.8804	Max: -20	Min: -61
Mean: -42.98	Var: 77.0196	Max: -20	Min: -58
Mean: -43.08	Var: 87.3534	Max: -20	Min: -61
Mean: -43.48	Var: 106.17	Max: -20	Min: -62
Mean: -43.44	Var: 94.0866	Max: -20	Min: -62
Mean: -43.12	Var: 106.866	Max: -20	Min: -70
Mean: -41.92	Var: 76.7937	Max: -20	Min: -59
Mean: -42.58	Var: 90.9635	Max: -20	Min: -61
Mean: -43.44	Var: 99.5666	Max: -20	Min: -67
Mean: -43.86	Var: 103.84	Max: -20	Min: -63
Mean: -43.18	Var: 74.7476	Max: -20	Min: -57
Mean: -43.38	Var: 69.8755	Max: -20	Min: -61
Mean: -43.72	Var: 64.4015	Max: -20	Min: -60
Mean: -44.42	Var: 70.5238	Max: -20	Min: -66
Mean: -42.76	Var: 57.4625	Max: -20	Min: -60
Mean: -43.08	Var: 68.6734	Max: -20	Min: -59
Mean: -42.46	Var: 65.9284	Max: -20	Min: -56
Mean: -43.26	Var: 84.8725	Max: -20	Min: -69
Mean: -43.68	Var: 74.4976	Max: -20	Min: -59
Mean: -44.26	Var: 79.7925	Max: -20	Min: -61
Mean: -43.66	Var: 82.5044	Max: -20	Min: -60
Mean: -42.38	Var: 63.9555	Max: -20	Min: -61
Mean: -43.44	Var: 81.9266	Max: -20	Min: -60
Mean: -42.96	Var: 75.4385	Max: -20	Min: -62
Mean: -44.1	Var: 88.6502	Max: -20	Min: -61
Mean: -44.18	Var: 101.388	Max: -20	Min: -68
Mean: -42.7	Var: 74.81	Max: -20	Min: -61
Mean: -43.34	Var: 77.3044	Max: -20	Min: -58
Mean: -42.92	Var: 65.8738	Max: -20	Min: -60
Mean: -43.58	Var: 79.8434	Max: -20	Min: -60
Mean: -44.16	Var: 84.6944	Max: -20	Min: -69
Mean: -44.88	Var: 92.5855	Max: -20	Min: -65
Mean: -43.88	Var: 75.1855	Max: -20	Min: -60
Mean: -43.84	Var: 68.4944	Max: -20	Min: -59
Mean: -44.14	Var: 107.76	Max: -20	Min: -84
Mean: -43.26	Var: 85.3525	Max: -20	Min: -67
Mean: -44.52	Var: 81.9296	Max: -20	Min: -64
Mean: -42.64	Var: 46.3504	Max: -20	Min: -55
Mean: -43.12	Var: 57.1456	Max: -20	Min: -57
Mean: -44	Var: 76.04	Max: -20	Min: -66
Mean: -44.58	Var: 59.8434	Max: -20	Min: -61
Mean: -45.22	Var: 79.2115	Max: -20	Min: -71
Mean: -43.66	Var: 54.7044	Max: -20	Min: -59
Mean: -44.66	Var: 65.8644	Max: -20	Min: -63
Mean: -44.36	Var: 67.3503	Max: -20	Min: -62
Mean: -44.42	Var: 83.4438	Max: -20	Min: -64
Mean: -43.74	Var: 64.5123	Max: -20	Min: -61
Mean: -42.6	Var: 50.3201	Max: -20	Min: -55
Mean: -44.42	Var: 81.3638	Max: -20	Min: -67
Mean: -43.88	Var: 69.2655	Max: -20	Min: -57
Mean: -44.06	Var: 90.4163	Max: -20	Min: -61
Mean: -43.66	Var: 89.2644	Max: -20	Min: -71
Mean: -44.44	Var: 98.4465	Max: -20	Min: -74
Mean: -43.98	Var: 73.7796	Max: -20	Min: -61
Mean: -43.04	Var: 57.9184	Max: -20	Min: -57
Mean: -43.52	Var: 74.2095	Max: -20	Min: -63
Mean: -44.3	Var: 72.77	Max: -20	Min: -61
Mean: -45.04	Var: 69.4783	Max: -20	Min: -59
Mean: -43.74	Var: 64.1123	Max: -20	Min: -64
Mean: -43.62	Var: 55.5157	Max: -20	Min: -61
Mean: -44.14	Var: 63.6804	Max: -20	Min: -64
Mean: -44.12	Var: 65.5457	Max: -20	Min: -59
Mean: -42.98	Var: 67.4596	Max: -20	Min: -59
Mean: -43.46	Var: 70.1285	Max: -20	Min: -57
Mean: -42.8	Var: 69.8	Max: -20	Min: -60
Mean: -43.22	Var: 70.7315	Max: -20	Min: -60
